City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
615,Khandbari,NP,83.5,light rain,27.3747,87.2039,Sainik Hotel And Lodge
626,Dakar,SN,77.13,few clouds,14.6937,-17.4441,Novotel Dakar
628,Jiamusi,CN,76.89,overcast clouds,46.8333,130.35,Riversky Hotel
630,Zakamensk,RU,75.81,overcast clouds,50.3741,103.2863,Gostinitsa Zakamna
632,Mandera,KE,75.38,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
635,Pierre,US,77.92,clear sky,44.3683,-100.351,Ramkota Hotel
637,Sinnamary,GF,77,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
639,Black Forest,US,78.8,clear sky,39.0131,-104.7008,Datt Properties
640,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
642,Kirensk,RU,78.87,broken clouds,57.7853,108.1119,Kirenskiy Plos
643,Labuhan,ID,83.86,light rain,-6.8844,112.2051,DoubleFAG
644,Basco,PH,85.03,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
648,Hickory,US,80.65,scattered clouds,35.7332,-81.3412,"Crowne Plaza Hickory, an IHG Hotel"
652,Meulaboh,ID,84.54,broken clouds,4.1363,96.1285,Kost Pria
653,Ramganj,BD,88.93,overcast clouds,23.1,90.85,Maa manjil
658,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
659,Pivijay,CO,76.71,broken clouds,10.4617,-74.6162,Hospedaje La Posada
666,Pringsewu,ID,86.07,overcast clouds,-5.3582,104.9744,Urban Style by Front One
669,Cayon,KN,78.33,few clouds,17.35,-62.7333,Ottley's Plantation Inn
673,Batticaloa,LK,84.92,overcast clouds,7.7102,81.6924,Grand Star Guest House
677,Itarema,BR,75.58,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
